AE;101;Abu Dhabi Municipality
AE;102;Al Ain Municipality
AE;103;Al Dhafra
AE;701;Al Fujairah Municipality
AE;702;Dibba Al Fujairah Municipality
AE;302;Dhaid
AE;401;Ajman
AE;304;Khor Fakkan
AE;307;Dibba Al Hesn
AE;305;Kalba
AE;601;Ras Al Khaimah
AE;501;Umm AL Quwain
AE;309;Milehah
AE;306;Al Madam
AE;301;Sharjah
AE;303;Al Hamriyah
AE;402;Manama
AE;403;Masfout
AE;308;Al Batayih
AE;201;Dubai
AF;1109;Shighnan District
AF;609;Gēlān
AF;1114;Arghanj Khwāh
AF;1115;Argō
AF;1108;Bahārak
AF;1116;Darāyim
AF;1117;Darwāz-e Bālā
AF;1110;Darwāz-e Pā’īn
AF;1101;Faīẕābād
AF;1107;Ishkāshim
AF;1103;Jurm
AF;1118;Khāsh
AF;1111;Khwāhān
AF;1102;Kishim
AF;1119;Kōhistān
AF;1120;Kūf Āb
AF;1112;Rāghistān
AF;1113;Shahr-e Buzurg
AF;1121;Shikī
AF;1122;Shuhadā
AF;1123;Tagāb
AF;1124;Tashkān
AF;1106;Wākhān
AF;1125;Wardūj
AF;1126;Yaftal-e Suflá
AF;1127;Yamgān
AF;1128;Yāwān
AF;1105;Zaybāk
AF;1902;Āb-e Kamarī
AF;1905;Ghōrmāch
AF;1904;Jowand
AF;1907;Muqur
AF;1906;Murghāb
AF;1903;Qādis
AF;1901;Qal‘ah-ye Now
AF;1307;Andarāb
AF;1311;Baghlān-e Jadīd
AF;1310;Būrkah
AF;1303;Dahanah-ye Ghōrī
AF;1312;Deh-e Şalāḩ
AF;1304;Dōshī
AF;1313;Firing wa Ghārū
AF;1314;Guz̄argāh-e Nūr
AF;1306;Khinjān
AF;1308;Khōst wa Firing
AF;1315;Khwājah Hijrān
AF;1309;Nahrīn
AF;1302;Pul-e Ḩişār
AF;1305;Tālah wa Barfak
AF;2803;Kahmard
AF;2805;Panjāb
AF;2807;Sayghān
AF;2806;Waras̄
AF;2804;Yakāwlang
AF;2107;Anār Darah
AF;2102;Bakwāh
AF;2105;Bālā Bulūk
AF;2103;Gulistān
AF;2106;Khāk-e Safēd
